"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","fase_despesa","funcao","VALUE","QT_HABITANTE","ELEMENTLABEL","DT_STATUS_COLETA","dh_consulta"
"2018","1","B","M","E","3515004","Embu das Artes","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","23214123.28","264448","Total das Despesas Exceto Intra-Orçamentárias","2018-04-10T14:30:41Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3127206","Funilândia","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","732855.93","4237","Total das Despesas Exceto Intra-Orçamentárias","2018-09-28T16:35:51Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3301702","Duque de Caxias","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","102670307.9","886917","Total das Despesas Exceto Intra-Orçamentárias","2018-12-21T14:15:07Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3513009","Cotia","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2840528.44","233696","Total de Despesas Intraorçamentária","2019-02-25T19:20:07Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3304557","Rio de Janeiro","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","302105750.7","6498837","Total de Despesas Intraorçamentária","2018-05-30T21:44:01Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3530607","Mogi das Cruzes","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","835254.53","429321","Total de Despesas Intraorçamentária","2018-06-16T01:32:54Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3136207","João Monlevade","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","10580799","79100","Total das Despesas Exceto Intra-Orçamentárias","2018-12-03T10:39:18Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3205002","Serra","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","38783383.45","494109","Total das Despesas Exceto Intra-Orçamentárias","2018-03-29T16:03:42Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3118601","Contagem","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5631733.61","653800","Total de Despesas Intraorçamentária","2018-07-27T17:28:22Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3156700","Sabará","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","495670.77","135196","Total de Despesas Intraorçamentária","2018-12-04T01:33:12Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3552502","Suzano","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","2374791.81","288056","Total de Despesas Intraorçamentária","2019-05-24T14:25:57Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3302270","Japeri","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1225384.9","100562","Total de Despesas Intraorçamentária","2018-08-17T01:31:54Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3118601","Contagem","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","54720131.6","653800","Total das Despesas Exceto Intra-Orçamentárias","2018-07-27T17:29:12Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3131000","Inhaúma","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","50663.92","6200","Total de Despesas Intraorçamentária","2018-07-19T12:43:09Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3505708","Barueri","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","116781158.51","264935","Total das Despesas Exceto Intra-Orçamentárias","2018-09-28T17:49:33Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3201159","Brejetuba","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2642838.66","12797","Total das Despesas Exceto Intra-Orçamentárias","2019-02-06T22:23:38Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3544103","Rio Grande da Serra","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","3183871.04","50241","Total das Despesas Exceto Intra-Orçamentárias","2019-04-22T18:41:39Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","3","B","M","E","3522505","Itapevi","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","27359748.28","234352","Total das Despesas Exceto Intra-Orçamentárias","2019-07-30T12:41:38Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3124104","Esmeraldas","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","3717885.21","68133","Total das Despesas Exceto Intra-Orçamentárias","2018-09-27T14:49:47Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3510609","Carapicuíba","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","12034775.26","394465","Total das Despesas Exceto Intra-Orçamentárias","2018-10-10T19:11:48Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3302601","Mangaratiba","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","8182086.6","41557","Total das Despesas Exceto Intra-Orçamentárias","2018-10-03T17:13:19Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3136207","João Monlevade","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","22654","79100","Total de Despesas Intraorçamentária","2018-10-08T19:36:27Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3106200","Belo Horizonte","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","261806819.42","2513451","Total das Despesas Exceto Intra-Orçamentárias","2019-01-31T18:22:55Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3551009","São Vicente","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","4862382.27","357989","Total de Despesas Intraorçamentária","2018-06-06T13:30:32Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3106705","Betim","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","3576559.52","422354","Total de Despesas Intraorçamentária","2018-06-06T17:51:49Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3546801","Santa Isabel","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9442651.39","55476","Total das Despesas Exceto Intra-Orçamentárias","2018-05-29T17:48:19Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3304557","Rio de Janeiro","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","85450543.89","6498837","Total de Despesas Intraorçamentária","2018-05-30T21:44:01Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3136207","João Monlevade","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","12171229","79100","Total das Despesas Exceto Intra-Orçamentárias","2018-10-08T19:36:27Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3509007","Caieiras","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1364087.13","97016","Total de Despesas Intraorçamentária","2018-06-11T13:38:50Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3105004","Baldim","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","773809.24","8061","Total das Despesas Exceto Intra-Orçamentárias","2019-04-15T10:50:02Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3304904","São Gonçalo","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2642726.2","1044058","Total de Despesas Intraorçamentária","2018-07-12T01:30:17Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3201159","Brejetuba","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","1487421.67","12797","Total das Despesas Exceto Intra-Orçamentárias","2018-06-29T17:51:06Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3526209","Juquitiba","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","2675909.64","30837","Total das Despesas Exceto Intra-Orçamentárias","2018-12-03T17:06:04Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3526209","Juquitiba","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5332327.43","30837","Total das Despesas Exceto Intra-Orçamentárias","2018-12-03T17:06:04Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3301702","Duque de Caxias","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","102665702.2","886917","Total das Despesas Exceto Intra-Orçamentárias","2018-08-04T01:30:55Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3534401","Osasco","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","90489595.14","696382","Total das Despesas Exceto Intra-Orçamentárias","2018-05-29T20:29:44Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3140001","Mariana","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","9836095.27","59343","Total das Despesas Exceto Intra-Orçamentárias","2018-05-30T19:42:34Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3304904","São Gonçalo","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","40748778.2","1044058","Total das Despesas Exceto Intra-Orçamentárias","2018-08-14T01:30:45Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","3","B","M","E","3202405","Guarapari","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","6834885.38","122982","Total das Despesas Exceto Intra-Orçamentárias","2019-09-30T19:42:11Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3205002","Serra","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","19935446.58","494109","Total das Despesas Exceto Intra-Orçamentárias","2018-03-29T16:03:42Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3302270","Japeri","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","156137.4","100562","Total de Despesas Intraorçamentária","2018-08-17T01:31:54Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3149309","Pedro Leopoldo","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5789708.53","63406","Total das Despesas Exceto Intra-Orçamentárias","2018-09-27T19:12:50Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3202405","Guarapari","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","27304129.92","121506","Total das Despesas Exceto Intra-Orçamentárias","2018-07-04T18:27:08Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3118601","Contagem","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","102442057.8","653800","Total das Despesas Exceto Intra-Orçamentárias","2019-01-30T17:09:02Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3129806","Ibirité","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","11539712.83","175721","Total das Despesas Exceto Intra-Orçamentárias","2019-06-01T01:30:43Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3548500","Santos","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","78615241.14","434359","Total das Despesas Exceto Intra-Orçamentárias","2018-07-30T20:17:38Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3534401","Osasco","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","122054400.91","696382","Total das Despesas Exceto Intra-Orçamentárias","2018-07-27T18:24:24Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3303906","Petrópolis","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","2886149.9","298158","Total de Despesas Intraorçamentária","2018-08-01T20:31:40Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3202405","Guarapari","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","941605.7","121506","Total de Despesas Intraorçamentária","2018-10-03T14:58:39Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3549953","São Lourenço da Serra","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","1842594.32","15667","Total das Despesas Exceto Intra-Orçamentárias","2019-04-08T11:41:13Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3136652","Juatuba","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","402466.09","26484","Total de Despesas Intraorçamentária","2019-04-15T17:45:35Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","2","B","M","E","3301702","Duque de Caxias","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","10018182.7","914383","Total de Despesas Intraorçamentária","2019-07-17T12:41:53Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","4","B","M","E","3303203","Nilópolis","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","14638137.8","158319","Total das Despesas Exceto Intra-Orçamentárias","2018-09-28T20:04:07Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","1","B","M","E","3205309","Vitória","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","27131423.11","359555","Total das Despesas Exceto Intra-Orçamentárias","2018-03-30T23:47:52Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3159100","Santana dos Montes","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","441164.25","3892","Total das Despesas Exceto Intra-Orçamentárias","2018-08-03T10:30:19Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3157807","Santa Luzia","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","24515399.05","217610","Total das Despesas Exceto Intra-Orçamentárias","2018-07-12T18:08:25Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3305158","São José do Vale do Rio Preto","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","3458378.04","21017","Total das Despesas Exceto Intra-Orçamentárias","2018-08-17T19:12:50Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3503901","Arujá","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","11126621.65","85199","Total das Despesas Exceto Intra-Orçamentárias","2019-01-25T14:35:20Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","6","B","M","E","3205200","Vila Velha","ES","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","664341.7","479664","Total de Despesas Intraorçamentária","2019-07-01T15:35:10Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","2","B","M","E","3534401","Osasco","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","5623176.09","696382","Total de Despesas Intraorçamentária","2018-05-29T20:29:44Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","5","B","M","E","3140001","Mariana","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","9473767.54","59343","Total das Despesas Exceto Intra-Orçamentárias","2018-11-30T19:32:58Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","2","B","M","E","3147105","Pará de Minas","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","258130.9","93101","Total de Despesas Intraorçamentária","2019-05-23T17:03:18Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","2","B","M","E","3147105","Pará de Minas","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","8023268.47","93101","Total das Despesas Exceto Intra-Orçamentárias","2019-05-23T17:03:18Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","2","B","M","E","3304144","Queimados","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","13038110.7","149265","Total das Despesas Exceto Intra-Orçamentárias","2019-06-14T01:31:04Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3106200","Belo Horizonte","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","268807128.84","2501576","Total das Despesas Exceto Intra-Orçamentárias","2019-05-23T01:31:06Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","1","B","M","E","3162922","São Joaquim de Bicas","MG","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","2819229.32","30989","Total das Despesas Exceto Intra-Orçamentárias","2019-06-26T13:52:08Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2019","2","B","M","E","3301900","Itaboraí","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","20321370.5","238695","Total das Despesas Exceto Intra-Orçamentárias","2019-05-28T16:12:43Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3552502","Suzano","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","27781851.35","288056","Total das Despesas Exceto Intra-Orçamentárias","2018-07-30T21:31:30Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3305109","São João de Meriti","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","29320056.4","460541","Total das Despesas Exceto Intra-Orçamentárias","2018-09-29T01:31:30Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3547809","Santo André","SP","DESPESAS LIQUIDADAS NO BIMESTRE","Educação","10165206.14","712749","Total de Despesas Intraorçamentária","2018-07-30T18:32:22Z","##------ Thu Nov 26 10:53:34 2020 ------##"
"2018","3","B","M","E","3300456","Belford Roxo","RJ","DESPESAS LIQUIDADAS NO BIMESTRE","Saúde","26108284.1","494141","Total das Despesas Exceto Intra-Orçamentárias","2018-08-01T01:34:26Z","##------ Thu Nov 26 10:53:34 2020 ------##"
